url;name;sku;price;size;brand;description;images
https://us.shein.com/Floral-Pattern-Hobo-Bag-p-12951753-cat-1764.html?mallCode=1;Floral Pattern Hobo Bag; SKU: sg2206183607862730;$5.20;;;[{'Color': 'Blue'}, {'Bag Size': 'Medium'}, {'Closure Type': 'Magnet'}, {'Pattern Type': 'Floral, Plants'}, {'Strap Type': 'Double Handle'}, {'Style': 'Casual, Preppy'}, {'Type': 'Square Bag'}, {'Composition': '100% Nylon'}, {'Material': 'Polyamide'}];['https://img.ltwebstatic.com/images3_pi/2023/02/06/1675647512c389edf965eaa4eadbd8f135b92a2cd8_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/02/06/1675647497c2ea6ff5a65711706281c20d093571ed_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/02/06/1675647499b07e64b04a11a52a103ab6c3cfda0a73_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/02/06/16756475036ec9e0a41d5f7fd4bf16c522dc57e7ad_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/02/06/16756475047cfe92694cb60f8131675e4b759ef0a3_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/02/06/16756475061bc6de0c8d62433695611d2a519db39d_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/02/06/16756475087ab19ce7c0e3d8eb21b40f3680361b64_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/02/06/167564751078701b6f755f58aa7808c212f3ef3e84_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/02/06/1675647512c389edf965eaa4eadbd8f135b92a2cd8_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/02/06/1675647497c2ea6ff5a65711706281c20d093571ed_thumbnail_600x.webp']
https://us.shein.com/SHEIN-VCAY-Ruffle-Trim-Shirred-Waist-Ditsy-Floral-Dress-p-2619116-cat-1727.html?mallCode=1;SHEIN VCAY Ruffle Trim Shirred Waist Ditsy Floral Dress; SKU: swdress07210430114;$13.49;XS(2),S(4),M(6),L(8/10),XL(12);SHEIN VCAY;[{'Color': 'Dusty Blue'}, {'Style': 'Boho'}, {'Pattern Type': 'Ditsy Floral'}, {'Details': 'Button, Shirred'}, {'Type': 'A Line'}, {'Neckline': 'Round Neck'}, {'Sleeve Length': 'Cap Sleeve'}, {'Sleeve Type': 'Butterfly Sleeve'}, {'Waist Line': 'High Waist'}, {'Hem Shaped': 'Flared'}, {'Length': 'Short'}, {'Fit Type': 'Regular Fit'}, {'Fabric': 'Non-Stretch'}, {'Material': 'Fabric'}, {'Composition': '97% Polyester, 3% Elastane'}, {'Care Instructions': 'Machine wash or professional dry clean'}, {'Sheer': 'No'}];['https://img.ltwebstatic.com/images3_pi/2021/05/10/16206289021f72722d290609a5d388134180188eb1_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/05/10/162062889682b354aea4b783782bb641cee2fffb2d_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/05/10/1620628899ca132d0cbfa65f69a16a03ba4aef5e42_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/05/10/16206289021f72722d290609a5d388134180188eb1_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/05/10/162062890656cad23f070376980f10c66806741a00_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/05/10/1620628910dd9a6688abf6308b96bea3990bf4b10b_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/05/10/16206289021f72722d290609a5d388134180188eb1_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/05/10/162062889682b354aea4b783782bb641cee2fffb2d_thumbnail_600x.webp']
https://us.shein.com/Striped-Plant-Print-Bikini-Swimsuit-p-2909403-cat-1866.html?mallCode=1;Striped & Plant Print Bikini Swimsuit; SKU: swswim25210616827;$5.75;2 (XS),4 (S),6 (M),8/12 (L),14 (XL);;[{'Color': 'Green'}, {'Style': 'Boho'}, {'Pattern Type': 'Striped, Tropical'}, {'Bottom Type': 'High Waist'}, {'Bra Type': 'Wireless Bra'}, {'Neckline': 'Scoop Neck'}, {'Fabric': 'High Stretch'}, {'Care Instructions': 'Machine wash, do not dry clean'}, {'Chest pad': 'Removable Padding'}, {'Bikini Bottoms & Bikini Tops Material': 'Fabric'}, {'Bikini Bottoms & Bikini Tops Composition': '82% Polyester, 18% Elastane'}];['https://img.ltwebstatic.com/images3_pi/2021/07/13/1626141890bb5d659215253986f3586ca350eb8bbd_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/07/13/1626141885452cb1b801de08cc679e75dc3b25ad64_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/07/13/16261418882428b2a51f4b58d76abbd59e83512562_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/07/13/16261418899620e6856dc98bde8ea536601eb795eb_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/07/13/1626141890bb5d659215253986f3586ca350eb8bbd_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/07/13/1626141890bb5d659215253986f3586ca350eb8bbd_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/07/13/1626141885452cb1b801de08cc679e75dc3b25ad64_thumbnail_600x.webp']
https://us.shein.com/Cross-Detail-Round-Drop-Earrings-p-12181605-cat-1757.html?mallCode=1;Cross Detail Round Drop Earrings; SKU: sj2211193824840110;$3.60;one-size;Shine&land;[{'Color': 'Multicolor'}, {'Style': 'Fashionable'}, {'Details': 'Round'}, {'Material': 'Copper Alloy'}, {'Gender': 'Women'}];['https://img.ltwebstatic.com/images3_pi/2022/11/21/1668994636965e82c091791b719e80686cbf5a61ff_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/11/21/166899462858bd2271e707ebf34936ad26b7b64668_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/11/21/1668994630696fea91f9f23033d5578db5a6758249_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/11/21/166899463142f4f9eb36ac02e27be2ef1845ade0a9_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/11/21/16689946332b6fb056ea1f108beb00ea70e20d7246_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/11/21/1668994635e82b3066b49c6007cffa020c5217beec_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/11/21/1668994636965e82c091791b719e80686cbf5a61ff_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/11/21/166899462858bd2271e707ebf34936ad26b7b64668_thumbnail_600x.webp']
https://us.shein.com/SHEIN-Unity-Plus-Leopard-Print-Single-Button-Blazer-p-6626627-cat-2179.html?mallCode=1;SHEIN Unity Plus Leopard Print Single Button Blazer; SKU: sf2110258668809047;$18.49;XS-L,0XL(12),1XL(14),2XL(16),3XL(18),4XL(20);SHEIN Unity;[{'Color': 'Multicolor'}, {'Style': 'Elegant'}, {'Pattern Type': 'Leopard Print'}, {'Details': 'Button'}, {'Type': 'Regular'}, {'Neckline': 'Lapel'}, {'Sleeve Length': 'Long Sleeve'}, {'Sleeve Type': 'Regular Sleeve'}, {'Length': 'Long'}, {'Fit Type': 'Regular Fit'}, {'Fabric': 'Slight Stretch'}, {'Material': 'Fabric'}, {'Composition': '95% Polyester, 5% Elastane'}, {'Care Instructions': 'Machine wash, do not dry clean,wash with the soft detergent'}, {'Body': 'Unlined'}, {'Sheer': 'No'}];['https://img.ltwebstatic.com/images3_pi/2021/12/07/16388459914e8581f2f3a365c91afe3a655724a878_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/12/07/16388459791642b68b784bf32222e2a0d1d6d2c3f3_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/12/07/1638845982f3281232b3e62759a3205d62b072e999_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/12/07/16388459885dc77ef3502a021a5b647070e345e3a2_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/12/07/16388459914e8581f2f3a365c91afe3a655724a878_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/12/07/1638845995b8331fce78fb631208bed8cabc4998c0_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/12/07/16388459914e8581f2f3a365c91afe3a655724a878_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/12/07/16388459791642b68b784bf32222e2a0d1d6d2c3f3_thumbnail_600x.webp']
https://us.shein.com/Tropical-Print-Push-Up-One-Piece-Swimsuit-p-12747433-cat-2193.html?mallCode=1;Tropical Print Push Up One Piece Swimsuit; SKU: sw2212064676834578;$13.00;4 (S),6 (M),8/12 (L);;[{'Color': 'Multicolor'}, {'Pattern Type': 'Tropical'}, {'Details': 'Ruched'}, {'Bottom Type': 'Bikinis'}, {'Bra Type': 'Wireless Bra'}, {'Neckline': 'Straps'}, {'Fabric': 'High Stretch'}, {'Material': 'Fabric'}, {'Composition': '80% Polyamide, 20% Elastane'}, {'Care Instructions': 'Hand wash,do not dry clean'}, {'Body': 'Lined'}, {'Chest pad': 'Non Removable Padding'}];['https://img.ltwebstatic.com/images3_pi/2023/01/12/1673503685a8744c131f4cee5f8ada9f4bd9d23006_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/01/12/167350368258b18e12268856b177a3840c36765acf_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/01/12/1673503684cf0e7b41916bc40f7a27ab1eb6132bc7_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/01/12/1673503685a8744c131f4cee5f8ada9f4bd9d23006_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/01/12/1673503685a8744c131f4cee5f8ada9f4bd9d23006_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/01/12/167350368258b18e12268856b177a3840c36765acf_thumbnail_600x.webp']
https://us.shein.com/1pc-Flower-Print-Sofa-Seat-Cover-p-11342784-cat-3495.html?mallCode=1;1pc Flower Print Sofa Seat Cover; SKU: sh2208211022811835;From $4.70;Single Seat,2 Seater,3 Seater;Aobaina Home & Living;[{'Color': 'Multicolor'}, {'Composition': '92% Polyester, 8% Spandex'}, {'Material': 'Polyester'}, {'Features': 'Stretch'}, {'Machine Washable': 'Yes'}, {'Pattern Type': 'Floral'}, {'Type': 'Cushion Covers'}];['https://img.ltwebstatic.com/images3_pi/2022/08/22/1661169461e96caa5029f4d85ce4231d0f48a55731_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/08/22/1661169458f73147d1ea85e87890e7ebf47295f318_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/08/22/16611694598c35d2ca2b5043abd551b810fcddc783_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/07/30/16591811024944626c39684f466368dc8ae7d6aeb8_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/08/22/1661169461e96caa5029f4d85ce4231d0f48a55731_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/08/22/1661169458f73147d1ea85e87890e7ebf47295f318_thumbnail_600x.webp']
https://us.shein.com/O-ring-Detail-Tie-Dye-Halter-Top-p-2083555-cat-1779.html?mallCode=1;O-ring Detail Tie Dye Halter Top; SKU: swvest04210104176;$3.00;XS (2),S (4),M (6),L (8/10);;[{'Color': 'Multicolor'}, {'Style': 'Casual'}, {'Pattern Type': 'Tie Dye'}, {'Details': 'Ring, Tie Back'}, {'Length': 'Crop'}, {'Type': 'Halter'}, {'Neckline': 'Halter'}, {'Fit Type': 'Slim Fit'}, {'Fabric': 'Slight Stretch'}, {'Material': 'Fabric'}, {'Composition': '95% Polyester, 5% Spandex'}, {'Care Instructions': 'Machine wash or professional dry clean'}, {'Sheer': 'No'}];['https://img.ltwebstatic.com/images3_pi/2021/04/26/16194233773bc6cb5fdd96990af7e4dacbd7fbca2d_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/04/26/16194233773bc6cb5fdd96990af7e4dacbd7fbca2d_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/04/26/16194233791c7dffa96d06bf4bbacc01d5c29c564d_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/04/26/1619423381a4b9dee51cca9ed521188e360d163aa5_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/04/26/16194233840cbaf9e01e4710c1a0c9642d38572415_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/04/26/1619423386c2ac390cc5c3130b281a34b8e4bdb2db_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/04/26/16194233773bc6cb5fdd96990af7e4dacbd7fbca2d_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2021/04/26/16194233773bc6cb5fdd96990af7e4dacbd7fbca2d_thumbnail_600x.webp']
https://us.shein.com/Rhinestone-Detail-Mermaid-Hem-Tube-Dress-p-12748329-cat-1727.html?mallCode=1;Rhinestone Detail Mermaid Hem Tube Dress; SKU: sw2212203431131315;$38.99;S (4),M (6),L (8/10);;[{'Color': 'Navy Blue'}, {'Style': 'Party'}, {'Pattern Type': 'Plain'}, {'Details': 'Ruffle Hem, Rhinestone, Zipper'}, {'Type': 'Bodycon'}, {'Neckline': 'Strapless'}, {'Sleeve Length': 'Sleeveless'}, {'Waist Line': 'High Waist'}, {'Hem Shaped': 'Mermaid'}, {'Length': 'Midi'}, {'Fit Type': 'Slim Fit'}, {'Fabric': 'High Stretch'}, {'Material': 'Fabric'}, {'Composition': '95% Polyester, 5% Elastane'}, {'Care Instructions': 'Hand wash or professional dry clean'}, {'Sheer': 'No'}];['https://img.ltwebstatic.com/images3_pi/2023/01/12/16734915631b83f776f493cf32c86c3cc89f658d47_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/01/12/1673491559ff101ae93000fb82cce1503e8d4a72d8_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/01/12/1673491560f0266c2a351915e97c5f051750d16e30_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/01/12/16734915627b613d07199152da0f984b4e72f1d669_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/01/12/16734915631b83f776f493cf32c86c3cc89f658d47_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2023/01/12/1673491559ff101ae93000fb82cce1503e8d4a72d8_thumbnail_600x.webp']
https://us.shein.com/SHEIN-X-TTADAHH-Two-Tone-Mesh-Insert-Batwing-Sleeve-Mock-Neck-Wide-Leg-Jumpsuit-p-11055564-cat-1860.html?mallCode=1;SHEIN X TTADAHH Two Tone Mesh Insert Batwing Sleeve Mock Neck Wide Leg Jumpsuit; SKU: sw2204207992642577;$20.50;XS(2),S(4),M(6),L(8/10);SHEIN X TTADAHH;[{'Color': 'Hot Pink'}, {'Style': 'Elegant'}, {'Pattern Type': 'Colorblock'}, {'Details': 'Contrast Mesh, Pocket, Sheer'}, {'Length': 'Long'}, {'Type': 'Wide Leg'}, {'Neckline': 'Stand Collar'}, {'Sleeve Length': 'Long Sleeve'}, {'Sleeve Type': 'Bishop Sleeve'}, {'Waist Line': 'High Waist'}, {'Fit Type': 'Regular Fit'}, {'Fabric': 'Non-Stretch'}, {'Material': 'Fabric'}, {'Composition': '100% Polyester'}, {'Care Instructions': 'Machine wash or professional dry clean'}, {'Body': 'Unlined'}, {'Sheer': 'No'}];['https://img.ltwebstatic.com/images3_pi/2022/07/15/16578588207127c64a3aa338bb91a8701750758e4c_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/07/15/16578588150194e50c86c6ead36756579017c47a1f_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/07/15/16578588173b2cb51ab526442008c2f2268d54883a_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/07/15/16578588184d3679367bb97f190bdc969dde1303b2_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/07/15/16578588207127c64a3aa338bb91a8701750758e4c_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/07/15/1657858822129f9f820bd2e20fbf24bd8c5e3b4b93_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/07/15/1657858823cba50f0494e232e6e16e72bc48f33e4f_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/07/15/16578588207127c64a3aa338bb91a8701750758e4c_thumbnail_600x.webp', 'https://img.ltwebstatic.com/images3_pi/2022/07/15/16578588150194e50c86c6ead36756579017c47a1f_thumbnail_600x.webp']
